Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Dolonazole,Antidepressant,Ointment,110 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Dolocillin,Antiviral,Inhaler,989 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Ibupronazole,Antifungal,Drops,703 mg,AbbVie Inc.,Fungus,Over-the-Counter
Ibupromet,Antifungal,Cream,163 mg,Biogen Inc.,Fever,Over-the-Counter
Acetostatin,Antibiotic,Drops,112 mg,AbbVie Inc.,Pain,Prescription
Dolomet,Antifungal,Inhaler,511 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Metophen,Antiviral,Inhaler,38 mg,Biogen Inc.,Virus,Over-the-Counter
Cefmycin,Antibiotic,Cream,747 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Metomycin,Analgesic,Inhaler,995 mg,Bayer AG,Virus,Over-the-Counter
Acetovir,Antipyretic,Capsule,120 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dolophen,Antiviral,Cream,723 mg,Biogen Inc.,Virus,Over-the-Counter
Dextrophen,Antiviral,Drops,613 mg,Pfizer Inc.,Infection,Over-the-Counter
Clarivir,Antidiabetic,Tablet,306 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Metomycin,Antifungal,Capsule,877 mg,Novo Nordisk A/S,Pain,Prescription
Dextrostatin,Antifungal,Cream,688 mg,Pfizer Inc.,Pain,Prescription
Metostatin,Antipyretic,Injection,413 mg,AbbVie Inc.,Fungus,Prescription
Ibupromycin,Antibiotic,Inhaler,770 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Acetocillin,Analgesic,Drops,261 mg,Bayer AG,Fungus,Over-the-Counter
Clarivir,Antiviral,Ointment,367 mg,Biogen Inc.,Diabetes,Prescription
Cefnazole,Antiviral,Inhaler,308 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Ibupromet,Antidiabetic,Capsule,433 mg,Novartis AG,Depression,Prescription
Metostatin,Antifungal,Ointment,555 mg,Johnson & Johnson,Wound,Over-the-Counter
Doloprofen,Antiviral,Cream,55 mg,CSL Limited,Virus,Prescription
Doloprofen,Antipyretic,Drops,192 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Amoxicillin,Antifungal,Syrup,723 mg,Bristol-Myers Squibb Company,Fever,Prescription
Ibuprostatin,Antidiabetic,Inhaler,434 mg,Amgen Inc.,Depression,Over-the-Counter
Ibuprovir,Antibiotic,Ointment,610 mg,AstraZeneca plc,Fever,Prescription
Amoxistatin,Antidepressant,Cream,547 mg,Novartis AG,Diabetes,Prescription
Dextroprofen,Antifungal,Tablet,145 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Ibuproprofen,Antidepressant,Cream,936 mg,Bristol-Myers Squibb Company,Wound,Prescription
Dextronazole,Analgesic,Inhaler,316 mg,Bayer AG,Diabetes,Prescription
Cefcillin,Antibiotic,Cream,966 mg,AstraZeneca plc,Pain,Over-the-Counter
Cefnazole,Antibiotic,Tablet,816 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Ibupromet,Analgesic,Ointment,824 mg,CSL Limited,Pain,Over-the-Counter
Amoxinazole,Antidepressant,Drops,495 mg,AbbVie Inc.,Pain,Prescription
Dolocillin,Antipyretic,Drops,514 mg,Biogen Inc.,Diabetes,Over-the-Counter
Amoxicillin,Antiviral,Drops,552 mg,"Gilead Sciences, Inc.",Virus,Prescription
Cefphen,Antipyretic,Cream,479 mg,Bayer AG,Wound,Prescription
Ibupromycin,Antiseptic,Tablet,739 mg,Roche Holding AG,Virus,Over-the-Counter
Clariphen,Analgesic,Capsule,216 mg,Sanofi S.A.,Depression,Over-the-Counter
Dolonazole,Antipyretic,Injection,871 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Acetovir,Antibiotic,Injection,759 mg,Eli Lilly and Company,Virus,Over-the-Counter
Doloprofen,Antiviral,Injection,301 mg,"Merck & Co., Inc.",Infection,Prescription
Cefmet,Antiviral,Ointment,860 mg,"Merck & Co., Inc.",Fever,Prescription
Dolovir,Antidiabetic,Inhaler,173 mg,Eli Lilly and Company,Infection,Prescription
Ibuprocillin,Antidepressant,Syrup,881 mg,CSL Limited,Wound,Over-the-Counter
Ibuproprofen,Antibiotic,Ointment,288 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Claricillin,Antiviral,Cream,3 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Acetomet,Antipyretic,Injection,258 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Dextrostatin,Antifungal,Syrup,178 mg,AbbVie Inc.,Fungus,Prescription
Dextronazole,Antibiotic,Tablet,452 mg,Biogen Inc.,Depression,Over-the-Counter
Dolophen,Antiviral,Cream,442 mg,Biogen Inc.,Wound,Prescription
Amoxicillin,Antibiotic,Capsule,731 mg,AbbVie Inc.,Infection,Over-the-Counter
Cefstatin,Antiseptic,Tablet,234 mg,Johnson & Johnson,Fever,Prescription
Acetophen,Antibiotic,Ointment,535 mg,Eli Lilly and Company,Infection,Prescription
Cefmet,Analgesic,Ointment,823 mg,Bayer AG,Virus,Over-the-Counter
Ibupronazole,Antibiotic,Cream,249 mg,Johnson & Johnson,Fever,Over-the-Counter
Doloprofen,Antibiotic,Tablet,161 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Clarimycin,Antibiotic,Inhaler,262 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Acetocillin,Antidepressant,Syrup,965 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Ibuprophen,Antifungal,Capsule,124 mg,Novartis AG,Fungus,Prescription
Acetomet,Antibiotic,Inhaler,460 mg,CSL Limited,Virus,Over-the-Counter
Dolophen,Antifungal,Inhaler,190 mg,Novartis AG,Infection,Prescription
Clarivir,Antiseptic,Capsule,485 mg,Amgen Inc.,Fever,Over-the-Counter
Acetovir,Antidiabetic,Inhaler,798 mg,Amgen Inc.,Depression,Over-the-Counter
Amoxiprofen,Antibiotic,Drops,536 mg,Roche Holding AG,Pain,Prescription
Clarinazole,Antipyretic,Injection,251 mg,Roche Holding AG,Pain,Over-the-Counter
Metophen,Antidiabetic,Drops,983 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Claristatin,Antidepressant,Capsule,106 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Clarimycin,Antidiabetic,Drops,145 mg,Bristol-Myers Squibb Company,Wound,Prescription
Dextromycin,Antipyretic,Inhaler,965 mg,Bristol-Myers Squibb Company,Depression,Prescription
Ibupromycin,Antiseptic,Injection,636 mg,Eli Lilly and Company,Pain,Prescription
Clariphen,Antifungal,Drops,139 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Clariphen,Antipyretic,Capsule,82 mg,"Merck & Co., Inc.",Wound,Prescription
Dolomycin,Antipyretic,Inhaler,35 mg,AbbVie Inc.,Depression,Prescription
Acetovir,Antidiabetic,Cream,400 mg,Novartis AG,Fever,Over-the-Counter
Dextromycin,Antibiotic,Ointment,544 mg,CSL Limited,Fungus,Prescription
Dextromet,Analgesic,Syrup,378 mg,Johnson & Johnson,Infection,Prescription
Cefmet,Antipyretic,Capsule,514 mg,Novo Nordisk A/S,Depression,Prescription
Cefcillin,Antiseptic,Drops,802 mg,Amgen Inc.,Depression,Over-the-Counter
Clarimycin,Antibiotic,Injection,814 mg,Biogen Inc.,Infection,Over-the-Counter
Dextroprofen,Antidiabetic,Drops,160 mg,CSL Limited,Infection,Prescription
Clariprofen,Antidiabetic,Tablet,125 mg,AbbVie Inc.,Depression,Over-the-Counter
Cefvir,Antibiotic,Ointment,120 mg,AbbVie Inc.,Depression,Over-the-Counter
Cefphen,Antipyretic,Tablet,373 mg,AbbVie Inc.,Diabetes,Prescription
Metoprofen,Antidepressant,Drops,154 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Acetocillin,Antibiotic,Ointment,454 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Clariphen,Antibiotic,Ointment,369 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Clarimet,Antiseptic,Capsule,659 mg,Bayer AG,Depression,Prescription
Ibuproprofen,Antipyretic,Syrup,600 mg,AstraZeneca plc,Fever,Over-the-Counter
Amoxiprofen,Antiseptic,Cream,198 mg,Roche Holding AG,Virus,Over-the-Counter
Cefstatin,Antipyretic,Inhaler,707 mg,Bayer AG,Infection,Prescription
Cefprofen,Antiviral,Capsule,140 mg,Biogen Inc.,Diabetes,Over-the-Counter
Dextrocillin,Antifungal,Cream,446 mg,"Gilead Sciences, Inc.",Fever,Prescription
Cefphen,Analgesic,Drops,851 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Clarinazole,Antifungal,Drops,344 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Ibuprostatin,Antiseptic,Capsule,335 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Ibupronazole,Antiseptic,Drops,18 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Dextromet,Antiviral,Cream,133 mg,Roche Holding AG,Pain,Over-the-Counter
Acetostatin,Antibiotic,Ointment,94 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Acetomet,Antiviral,Tablet,753 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Claricillin,Antidiabetic,Cream,751 mg,Novartis AG,Virus,Prescription
Dolocillin,Antidepressant,Injection,506 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Acetostatin,Antiviral,Syrup,833 mg,Eli Lilly and Company,Pain,Prescription
Ibupromet,Antidepressant,Drops,169 mg,Biogen Inc.,Virus,Prescription
Acetomet,Antiviral,Cream,462 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Clariphen,Antidiabetic,Inhaler,299 mg,Eli Lilly and Company,Infection,Over-the-Counter
Acetophen,Antidiabetic,Tablet,836 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Ibuprocillin,Antifungal,Cream,410 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Dextronazole,Antidiabetic,Cream,349 mg,Sanofi S.A.,Fungus,Over-the-Counter
Metostatin,Antifungal,Ointment,699 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Amoxistatin,Antiseptic,Ointment,112 mg,Novartis AG,Pain,Prescription
Amoxivir,Antiseptic,Injection,384 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Acetomycin,Analgesic,Syrup,188 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Dolocillin,Antipyretic,Injection,214 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Dolocillin,Antipyretic,Capsule,17 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Amoxicillin,Antiviral,Capsule,829 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Acetoprofen,Antifungal,Syrup,753 mg,Biogen Inc.,Diabetes,Over-the-Counter
Metostatin,Antidepressant,Syrup,545 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Dolocillin,Antidepressant,Inhaler,854 mg,Sanofi S.A.,Fever,Over-the-Counter
Amoxiphen,Antiviral,Cream,491 mg,Novartis AG,Fever,Over-the-Counter
Acetostatin,Antipyretic,Ointment,499 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Acetostatin,Antibiotic,Capsule,964 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Metoprofen,Antiviral,Cream,981 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Cefcillin,Antipyretic,Inhaler,847 mg,Amgen Inc.,Virus,Over-the-Counter
Ibuprophen,Antiseptic,Tablet,2 mg,AbbVie Inc.,Fungus,Prescription
Amoxiphen,Antipyretic,Tablet,898 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Metocillin,Antipyretic,Ointment,855 mg,Roche Holding AG,Fever,Over-the-Counter
Ibupromycin,Antipyretic,Cream,973 mg,Eli Lilly and Company,Fever,Over-the-Counter
Amoxivir,Antidepressant,Injection,561 mg,CSL Limited,Wound,Over-the-Counter
Ibuprostatin,Antidiabetic,Syrup,473 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Acetomycin,Antidepressant,Tablet,804 mg,AstraZeneca plc,Pain,Over-the-Counter
Dextromet,Antiseptic,Injection,577 mg,Amgen Inc.,Wound,Prescription
Acetonazole,Antipyretic,Cream,441 mg,AbbVie Inc.,Pain,Over-the-Counter
Metomycin,Antidepressant,Syrup,915 mg,AstraZeneca plc,Wound,Prescription
Clarivir,Antibiotic,Cream,269 mg,Sanofi S.A.,Depression,Prescription
Dolostatin,Antibiotic,Capsule,600 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Acetomet,Antidiabetic,Cream,938 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Amoximycin,Antipyretic,Capsule,799 mg,Biogen Inc.,Virus,Over-the-Counter
Metoprofen,Antidiabetic,Injection,141 mg,AstraZeneca plc,Fever,Over-the-Counter
Acetocillin,Antipyretic,Tablet,631 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Dextrostatin,Antibiotic,Inhaler,614 mg,Biogen Inc.,Infection,Prescription
Clariphen,Antifungal,Injection,814 mg,Amgen Inc.,Depression,Prescription
Acetomet,Antidiabetic,Tablet,692 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Acetomycin,Antipyretic,Tablet,764 mg,Pfizer Inc.,Depression,Prescription
Dolomet,Analgesic,Inhaler,16 mg,Eli Lilly and Company,Fever,Over-the-Counter
Metoprofen,Analgesic,Ointment,884 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Cefcillin,Analgesic,Ointment,357 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Ibuprocillin,Antifungal,Injection,675 mg,Novartis AG,Virus,Over-the-Counter
Amoxiphen,Antipyretic,Tablet,831 mg,Johnson & Johnson,Fever,Prescription
Amoximycin,Antiviral,Drops,582 mg,Eli Lilly and Company,Wound,Prescription
Dolovir,Antipyretic,Ointment,665 mg,Sanofi S.A.,Wound,Over-the-Counter
Dolonazole,Antiviral,Inhaler,735 mg,GlaxoSmithKline plc,Virus,Prescription
Dolomycin,Analgesic,Cream,117 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Clarinazole,Antiseptic,Syrup,140 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Acetomet,Antiseptic,Drops,853 mg,Amgen Inc.,Depression,Prescription
Cefnazole,Antiseptic,Syrup,859 mg,GlaxoSmithKline plc,Infection,Prescription
Cefnazole,Antibiotic,Tablet,495 mg,AstraZeneca plc,Virus,Over-the-Counter
Cefprofen,Antiviral,Inhaler,819 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Acetovir,Antipyretic,Tablet,183 mg,Biogen Inc.,Wound,Over-the-Counter
Amoxicillin,Antifungal,Cream,478 mg,Bayer AG,Pain,Over-the-Counter
Cefprofen,Antiviral,Drops,187 mg,Eli Lilly and Company,Fever,Prescription
Cefstatin,Antiviral,Syrup,603 mg,AstraZeneca plc,Depression,Prescription
Amoximet,Antifungal,Cream,909 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dolomycin,Antifungal,Inhaler,212 mg,Amgen Inc.,Diabetes,Prescription
Cefmet,Antipyretic,Drops,70 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Amoximycin,Antipyretic,Inhaler,342 mg,Eli Lilly and Company,Pain,Over-the-Counter
Dolostatin,Antifungal,Ointment,747 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dextromet,Antidiabetic,Tablet,484 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Amoxicillin,Analgesic,Syrup,116 mg,AbbVie Inc.,Pain,Prescription
Ibupromycin,Antiseptic,Ointment,877 mg,AbbVie Inc.,Wound,Over-the-Counter
Ibuprocillin,Analgesic,Inhaler,10 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Clariphen,Antidiabetic,Drops,889 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Acetovir,Antidiabetic,Cream,841 mg,GlaxoSmithKline plc,Fungus,Prescription
Metophen,Analgesic,Inhaler,840 mg,Eli Lilly and Company,Depression,Over-the-Counter
Acetophen,Antidepressant,Cream,993 mg,Eli Lilly and Company,Wound,Over-the-Counter
Dolostatin,Antiviral,Syrup,984 mg,Roche Holding AG,Infection,Prescription
Ibuprostatin,Antiviral,Drops,464 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Metocillin,Antidiabetic,Inhaler,5 mg,Amgen Inc.,Virus,Prescription
Ibupromycin,Antidepressant,Tablet,436 mg,Biogen Inc.,Wound,Prescription
Ibupronazole,Analgesic,Tablet,800 mg,"Gilead Sciences, Inc.",Fever,Prescription
Ibuprophen,Antiseptic,Ointment,305 mg,Roche Holding AG,Infection,Prescription
Clariphen,Analgesic,Ointment,634 mg,Amgen Inc.,Pain,Prescription
Clarivir,Antidepressant,Cream,893 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Ibuprovir,Antiseptic,Ointment,948 mg,Novartis AG,Wound,Over-the-Counter
Acetoprofen,Antibiotic,Injection,508 mg,CSL Limited,Pain,Prescription
Dolomycin,Antifungal,Tablet,421 mg,AbbVie Inc.,Fungus,Over-the-Counter
Ibuproprofen,Antidiabetic,Capsule,690 mg,CSL Limited,Depression,Over-the-Counter
Metomycin,Antidiabetic,Syrup,227 mg,Biogen Inc.,Fever,Prescription
Ibuprovir,Antibiotic,Tablet,349 mg,Novo Nordisk A/S,Virus,Prescription
Ibuproprofen,Antifungal,Tablet,886 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Metophen,Antiviral,Inhaler,592 mg,AbbVie Inc.,Virus,Prescription
Ibupromycin,Antipyretic,Ointment,926 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Acetophen,Antifungal,Tablet,702 mg,Bristol-Myers Squibb Company,Pain,Prescription
Dextrostatin,Antidiabetic,Drops,589 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Metonazole,Antidiabetic,Injection,82 mg,Amgen Inc.,Wound,Over-the-Counter
Clarivir,Antibiotic,Injection,977 mg,Eli Lilly and Company,Fever,Over-the-Counter
Dextromet,Antidepressant,Drops,902 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Metomycin,Antibiotic,Injection,926 mg,Pfizer Inc.,Fungus,Prescription
Amoximet,Analgesic,Tablet,241 mg,Novo Nordisk A/S,Fever,Prescription
Acetonazole,Antifungal,Drops,463 mg,AbbVie Inc.,Depression,Prescription
Amoxistatin,Antipyretic,Capsule,185 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Cefmet,Antidepressant,Tablet,881 mg,Amgen Inc.,Fungus,Prescription
Dextronazole,Antiseptic,Drops,692 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Acetomet,Antiviral,Cream,132 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Dextromet,Antifungal,Ointment,29 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Acetoprofen,Antiviral,Ointment,331 mg,"Gilead Sciences, Inc.",Wound,Prescription
Ibuprostatin,Antipyretic,Tablet,431 mg,Amgen Inc.,Depression,Prescription
Acetovir,Antifungal,Inhaler,859 mg,CSL Limited,Depression,Over-the-Counter
Dolomycin,Antifungal,Drops,230 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Clarimet,Antibiotic,Inhaler,649 mg,Biogen Inc.,Fever,Prescription
Acetonazole,Antiviral,Cream,113 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Ibupromycin,Antipyretic,Cream,467 mg,CSL Limited,Fever,Over-the-Counter
Ibuprophen,Antiviral,Cream,270 mg,CSL Limited,Fungus,Over-the-Counter
Clarimycin,Antiviral,Cream,893 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Acetostatin,Antidepressant,Drops,160 mg,"Merck & Co., Inc.",Fever,Prescription
Clarivir,Antibiotic,Injection,381 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Clarinazole,Antidepressant,Ointment,589 mg,Novo Nordisk A/S,Pain,Prescription
Claristatin,Antifungal,Ointment,809 mg,Johnson & Johnson,Depression,Over-the-Counter
Amoxivir,Antipyretic,Ointment,598 mg,Roche Holding AG,Pain,Over-the-Counter
Acetoprofen,Antipyretic,Syrup,595 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Metomycin,Antidiabetic,Ointment,224 mg,AstraZeneca plc,Infection,Prescription
Amoximet,Antidiabetic,Drops,257 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Dolostatin,Antidiabetic,Syrup,31 mg,Pfizer Inc.,Depression,Prescription
Amoxivir,Antidepressant,Capsule,654 mg,Eli Lilly and Company,Depression,Over-the-Counter
Acetonazole,Antiviral,Inhaler,723 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dextrostatin,Antiviral,Capsule,227 mg,Pfizer Inc.,Wound,Prescription
Acetonazole,Antiviral,Tablet,980 mg,Novartis AG,Virus,Over-the-Counter
Cefcillin,Antiviral,Tablet,760 mg,Amgen Inc.,Pain,Prescription
Ibuprostatin,Antidepressant,Ointment,106 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Clarimet,Antidepressant,Inhaler,864 mg,Johnson & Johnson,Infection,Prescription
Acetoprofen,Antiviral,Inhaler,263 mg,Eli Lilly and Company,Wound,Prescription
Cefnazole,Antibiotic,Capsule,242 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dolovir,Antiseptic,Drops,379 mg,Bayer AG,Infection,Prescription
Metomycin,Antipyretic,Injection,435 mg,"Merck & Co., Inc.",Depression,Prescription
Ibuprovir,Antiseptic,Syrup,622 mg,Eli Lilly and Company,Fever,Over-the-Counter
Clariprofen,Analgesic,Injection,765 mg,"Merck & Co., Inc.",Fungus,Prescription
Amoximet,Antifungal,Injection,975 mg,Bristol-Myers Squibb Company,Fever,Prescription
Ibuprocillin,Antidepressant,Injection,501 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Acetovir,Antiseptic,Syrup,143 mg,Roche Holding AG,Fever,Prescription
Ibupronazole,Antiseptic,Tablet,281 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Metocillin,Antidepressant,Ointment,269 mg,Pfizer Inc.,Infection,Over-the-Counter
Clarimet,Antifungal,Cream,959 mg,CSL Limited,Fungus,Prescription
Dolomycin,Antidiabetic,Ointment,845 mg,Amgen Inc.,Virus,Over-the-Counter
Dolonazole,Antiseptic,Inhaler,876 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Metomycin,Analgesic,Ointment,60 mg,Novo Nordisk A/S,Virus,Prescription
Ibuprostatin,Analgesic,Ointment,750 mg,Bayer AG,Diabetes,Prescription
Acetocillin,Antiseptic,Ointment,367 mg,Bayer AG,Diabetes,Over-the-Counter
Metocillin,Antiseptic,Ointment,228 mg,CSL Limited,Pain,Over-the-Counter
Amoxinazole,Antidepressant,Syrup,575 mg,AstraZeneca plc,Diabetes,Prescription
Clarinazole,Antifungal,Tablet,573 mg,Roche Holding AG,Pain,Prescription
Clarinazole,Analgesic,Cream,892 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Clarivir,Antidiabetic,Capsule,918 mg,AstraZeneca plc,Wound,Over-the-Counter
Clariphen,Antidepressant,Ointment,286 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Cefnazole,Antidepressant,Ointment,511 mg,CSL Limited,Fungus,Prescription
Dolostatin,Antifungal,Inhaler,601 mg,Biogen Inc.,Depression,Over-the-Counter
Metophen,Antiviral,Inhaler,998 mg,Amgen Inc.,Fungus,Prescription
Dolonazole,Antipyretic,Tablet,888 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Dextromet,Antipyretic,Inhaler,961 mg,Pfizer Inc.,Virus,Over-the-Counter
Amoxinazole,Antiviral,Ointment,147 mg,Roche Holding AG,Virus,Prescription
Metoprofen,Antibiotic,Syrup,45 mg,AbbVie Inc.,Fever,Prescription
Metovir,Antidiabetic,Tablet,955 mg,Novartis AG,Fever,Over-the-Counter
Cefprofen,Antipyretic,Inhaler,8 mg,Eli Lilly and Company,Pain,Over-the-Counter
Acetomet,Antifungal,Injection,992 mg,AstraZeneca plc,Virus,Prescription
Dolocillin,Antidiabetic,Cream,289 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Ibuprocillin,Antipyretic,Syrup,37 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Ibuprovir,Antiviral,Injection,497 mg,CSL Limited,Virus,Prescription
Ibuprovir,Antipyretic,Tablet,658 mg,Novartis AG,Fever,Over-the-Counter
Amoxiphen,Antiseptic,Cream,594 mg,Biogen Inc.,Depression,Prescription
Ibuprocillin,Antiviral,Injection,667 mg,Amgen Inc.,Wound,Over-the-Counter
Cefcillin,Antifungal,Drops,155 mg,Biogen Inc.,Pain,Over-the-Counter
Dolovir,Antipyretic,Drops,990 mg,Amgen Inc.,Diabetes,Over-the-Counter
Cefvir,Antiseptic,Cream,408 mg,Amgen Inc.,Virus,Over-the-Counter
Dextromycin,Antidepressant,Inhaler,959 mg,CSL Limited,Infection,Over-the-Counter
Doloprofen,Antidepressant,Tablet,826 mg,GlaxoSmithKline plc,Fungus,Prescription
Dolovir,Antipyretic,Cream,482 mg,Novartis AG,Depression,Prescription
Metostatin,Antiviral,Capsule,445 mg,Sanofi S.A.,Fever,Over-the-Counter
Amoximet,Analgesic,Inhaler,325 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Acetovir,Antidepressant,Tablet,505 mg,CSL Limited,Fever,Prescription
